Branch_ID|PLU|Class|Burui|DP2|Supplier_Code|SPLU|Description|Normal_Price|Current_Price|Disc_Percent|MinQty4Disc|Point|Constraint_Qty|Constraint_Amt|Constraint_Point|Constraint_Flag|Point_Item_Flag|Point_Spending_Flag|Get_Class_Flag|Flag|Margin|Last_Update|Unit_of_Measure|Article_Code|Long_Description|Brand|Package|Perishable|Store_Type
|BEANS03B|SCB|MWBSESCB0|SC|000062||WEST JAVA PREANGER S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/25 00:00:00.000000000|UNT|BEANS03B|WEST JAVA PREANGER SCOOPING 100 gr|Coffee Bean Scoop|0|0|1
|BEANS03BB|CBS|MWBSECBS0|SC|000062||West Java Preanger s|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/31 00:00:00.000000000|UNT|BEANS03BB|West Java Preanger scooping 100 gr|Coffee Bean Scoop|0|0|1
|BEANS04A|SCB|MWBSESCB0|SC|||BRASIL GERAIS MINAS|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANS04A|BRASIL GERAIS MINAS SCOOPING 50 GRAMS|Coffee Bean Scoop|0|0|1
|BEANS04AA|CBS|MWBSECBS0|SC|000062||HOLIDAY BLEND SCOOPI|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/22 00:00:00.000000000|UNT|BEANS04AA|HOLIDAY BLEND SCOOPING 50G|Coffee Bean Scoop|0|0|1
|BEANS04B|SCB|MWBSESCB0|SC|000062||BRASIL GERAIS MINAS|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANS04B|BRASIL GERAIS MINAS SCOOPING 100 GRAMS|Coffee Bean Scoop|0|0|1
|BEANS04BB|CBS|MWBSECBS0|SC|000062||HOLIDAY BLEND SCOOPI|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/22 00:00:00.000000000|UNT|BEANS04BB|HOLIDAY BLEND SCOOPING 100G|Coffee Bean Scoop|0|0|1
|BEANS10AA|CBS|MWBSECBS0|SC|000062||SOUTH OF THE CLOUD S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANS10AA|SOUTH OF THE CLOUD SCOOPING 50GR|Coffee Bean Scoop|0|0|1
|BEANS10BB|CBS|MWBSECBS0|SC|000062||SOUTH OF THE CLOUD S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANS10BB|SOUTH OF THE CLOUD SCOOPING 100GR|Coffee Bean Scoop|0|0|1
|BEANS11AA|CBS|MWBSECBS0|SC|000062||GUATEMALA CASI CIELO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANS11AA|GUATEMALA CASI CIELO SCOOPING 50GR|Coffee Bean Scoop|0|0|1
|BEANS11BB|CBS|MWBSECBS0|SC|000062||GUATEMALA CASI CIELO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANS11BB|GUATEMALA CASI CIELO SCOOPING 100GR|Coffee Bean Scoop|0|0|1
|BEANS12AA|CBS|MWBSECBS0|SC|000062||GUATEMALA ATITLAN SC|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANS12AA|GUATEMALA ATITLAN SCOOPING 50GR|Coffee Bean Scoop|0|0|1
|BEANS12BB|CBS|MWBSECBS0|SC|000062||GUATEMALA ATITLAN SC|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANS12BB|GUATEMALA ATITLAN SCOOPING 100GR|Coffee Bean Scoop|0|0|1
|BEANS13AA|SCB|MWBSESCB0|SC|000062||SULAWESI ORG SCOOPIN|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANS13AA|SULAWESI ORG SCOOPING 50G|Coffee Bean Scoop|0|0|1
|BEANS13BB|SCB|MWBSESCB0|SC|000062||SULAWESI ORG SCOOPIN|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANS13BB|SULAWESI ORG SCOOPING 100G|Coffee Bean Scoop|0|0|1
|BEANS14AA|SCB|MWBSESCB0|SC|000062||SPRING SEASON BLEND|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANS14AA|SPRING SEASON BLEND SCOOPING 50G|Coffee Bean Scoop|0|0|1
|BEANS14BB|SCB|MWBSESCB0|SC|000062||SPRING SEASON BLEND|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANS14BB|SPRING SEASON BLEND SCOOPING 100G|Coffee Bean Scoop|0|0|1
|BEANS19AA|CBS|MWBSECBS0|SC|000062||ICED COFFEE COFEE Sc|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/08/07 00:00:00.000000000|UNT|BEANS19AA|ICED COFFEE COFEE Scooping 50 gr|Coffee Bean Scoop|0|0|1
|BEANS19BB|CBS|MWBSECBS0|SC|000062||ICED COFFEE COFEE Sc|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/08/07 00:00:00.000000000|UNT|BEANS19BB|ICED COFFEE COFEE Scooping 100 gr|Coffee Bean Scoop|0|0|1
|BEANS20AA|CBS|MWBSECBS0|SC|000062||AUTUMN BLEND SCOOPIN|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANS20AA|AUTUMN BLEND SCOOPING 50 GR|Coffee Bean Scoop|0|0|1
|BEANS20BB|CBS|MWBSECBS0|SC|000062||AUTUMN BLEND SCOOPIN|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANS20BB|AUTUMN BLEND SCOOPING 100 GR|Coffee Bean Scoop|0|0|1
|BEANS21AA|CBS|MWBSECBS0|SC|000062||COLOMBIA SANTANDER S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANS21AA|COLOMBIA SANTANDER SCOOPING 50GR|Coffee Bean Scoop|0|0|1
|BEANS21BB|CBS|MWBSECBS0|SC|000062||COLOMBIA SANTANDER S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANS21BB|COLOMBIA SANTANDER SCOOPING 100GR|Coffee Bean Scoop|0|0|1
|BEANSP3AA|CBS|MWBSECBS0|SC|000062||COSTA RICE NARANJO 5|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/02/22 00:00:00.000000000|UNT|BEANSP03AA|COSTA RICE NARANJO 50 GR|Coffee Bean Scoop|0|0|1
|BEANSP3BB|CBS|MWBSECBS0|SC|000062||COSTA RICE NARANJO 1|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/02/22 00:00:00.000000000|UNT|BEANSP03BB|COSTA RICE NARANJO 100 GR|Coffee Bean Scoop|0|0|1
